399-10124-2-ND,T491A335K016AT7280,KEMET,CAP TANT 3.3UF 16V 10% 1206,"27,000 - Immediate",$0.08 ,"9,000",Tape & Reel (TR) Alternate Packaging,T491,Active,3.3µF,±10%,16V,Molded,5 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
,,,,,,,,,,,,,,,,,,,,,,,,,
399-10116-2-ND,T491A106K006AT7280,KEMET,CAP TANT 10UF 6.3V 10% 1206,"9,000 - Immediate",$0.08 ,"9,000",Tape & Reel (TR) Alternate Packaging,T491,Active,10µF,±10%,6.3V,Molded,4 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
,,,,,,,,,,,,,,,,,,,,,,,,,
399-3681-2-ND,T491A105M016AT,KEMET,CAP TANT 1UF 16V 20% 1206,"34,000 - Immediate",$0.08 ,"2,000",Tape & Reel (TR) Alternate Packaging,T491,Active,1µF,±20%,16V,Molded,10 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
,,,,,,,,,,,,,,,,,,,,,,,,,
399-3681-1-ND,T491A105M016AT,KEMET,CAP TANT 1UF 16V 20% 1206,"35,073 - Immediate",$0.37 ,1,Cut Tape (CT) Alternate Packaging,T491,Active,1µF,±20%,16V,Molded,10 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
,,,,,,,,,,,,,,,,,,,,,,,,,
399-3681-6-ND,T491A105M016AT,KEMET,CAP TANT 1UF 16V 20% 1206,"35,073 - Immediate",Digi-Reel®,1,Digi-Reel® Alternate Packaging,T491,Active,1µF,±20%,16V,Molded,10 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
,,,,,,,,,,,,,,,,,,,,,,,,,
399-8277-2-ND,T491A225M010AT,KEMET,CAP TANT 2.2UF 10V 20% 1206,"26,000 - Immediate",$0.08 ,"2,000",Tape & Reel (TR) Alternate Packaging,T491,Active,2.2µF,±20%,10V,Molded,7 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
,,,,,,,,,,,,,,,,,,,,,,,,,
399-8277-1-ND,T491A225M010AT,KEMET,CAP TANT 2.2UF 10V 20% 1206,"29,177 - Immediate",$0.37 ,1,Cut Tape (CT) Alternate Packaging,T491,Active,2.2µF,±20%,10V,Molded,7 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
,,,,,,,,,,,,,,,,,,,,,,,,,
399-8277-6-ND,T491A225M010AT,KEMET,CAP TANT 2.2UF 10V 20% 1206,"29,177 - Immediate",Digi-Reel®,1,Digi-Reel® Alternate Packaging,T491,Active,2.2µF,±20%,10V,Molded,7 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
,,,,,,,,,,,,,,,,,,,,,,,,,
399-3678-2-ND,T491A105K016AT,KEMET,CAP TANT 1UF 16V 10% 1206,"10,000 - Immediate",$0.08 ,"2,000",Tape & Reel (TR) Alternate Packaging,T491,Active,1µF,±10%,16V,Molded,10 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
,,,,,,,,,,,,,,,,,,,,,,,,,
399-3678-1-ND,T491A105K016AT,KEMET,CAP TANT 1UF 16V 10% 1206,"14,447 - Immediate",$0.37 ,1,Cut Tape (CT) Alternate Packaging,T491,Active,1µF,±10%,16V,Molded,10 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
,,,,,,,,,,,,,,,,,,,,,,,,,
399-3678-6-ND,T491A105K016AT,KEMET,CAP TANT 1UF 16V 10% 1206,"14,447 - Immediate",Digi-Reel®,1,Digi-Reel® Alternate Packaging,T491,Active,1µF,±10%,16V,Molded,10 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
,,,,,,,,,,,,,,,,,,,,,,,,,
399-3682-2-ND,T491A105M020AT,KEMET,CAP TANT 1UF 20V 20% 1206,"6,000 - Immediate",$0.08 ,"2,000",Tape & Reel (TR) Alternate Packaging,T491,Active,1µF,±20%,20V,Molded,9 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
,,,,,,,,,,,,,,,,,,,,,,,,,
399-3682-1-ND,T491A105M020AT,KEMET,CAP TANT 1UF 20V 20% 1206,"10,096 - Immediate",$0.37 ,1,Cut Tape (CT) Alternate Packaging,T491,Active,1µF,±20%,20V,Molded,9 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
,,,,,,,,,,,,,,,,,,,,,,,,,
399-3682-6-ND,T491A105M020AT,KEMET,CAP TANT 1UF 20V 20% 1206,"10,096 - Immediate",Digi-Reel®,1,Digi-Reel® Alternate Packaging,T491,Active,1µF,±20%,20V,Molded,9 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
,,,,,,,,,,,,,,,,,,,,,,,,,
399-9708-2-ND,T491A155K010AT,KEMET,CAP TANT 1.5UF 10V 10% 1206,"4,000 - Immediate",$0.08 ,"2,000",Tape & Reel (TR) Alternate Packaging,T491,Active,1.5µF,±10%,10V,Molded,8 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
,,,,,,,,,,,,,,,,,,,,,,,,,
399-9708-1-ND,T491A155K010AT,KEMET,CAP TANT 1.5UF 10V 10% 1206,"4,911 - Immediate",$0.37 ,1,Cut Tape (CT) Alternate Packaging,T491,Active,1.5µF,±10%,10V,Molded,8 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
,,,,,,,,,,,,,,,,,,,,,,,,,
399-9708-6-ND,T491A155K010AT,KEMET,CAP TANT 1.5UF 10V 10% 1206,"4,911 - Immediate",Digi-Reel®,1,Digi-Reel® Alternate Packaging,T491,Active,1.5µF,±10%,10V,Molded,8 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
,,,,,,,,,,,,,,,,,,,,,,,,,
399-8271-2-ND,T491A155M016AT,KEMET,CAP TANT 1.5UF 16V 20% 1206,"2,000 - Immediate",$0.08 ,"2,000",Tape & Reel (TR) Alternate Packaging,T491,Active,1.5µF,±20%,16V,Molded,8 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
,,,,,,,,,,,,,,,,,,,,,,,,,
399-8271-1-ND,T491A155M016AT,KEMET,CAP TANT 1.5UF 16V 20% 1206,"2,779 - Immediate",$0.37 ,1,Cut Tape (CT) Alternate Packaging,T491,Active,1.5µF,±20%,16V,Molded,8 Ohm,-55°C ~ 125°C,2000 Hrs @ 85°C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,-,General Purpose,-
,,,,,,,,,,,,,,,,,,,,,,,,,
